深坑區,23742,23766,23769,23768,23774,23743,23730,23736,23718,23678,23639,23646,23585,23552,23489,23429,23427,23443,23420,23412,23456,23479,23512,23528,23599,23631,23653,23653,23673,23686,23691,23683,23708,23695,23706,23689,23699,23686,23666,23665,23660,23633,23612,23593,23593,23629,23623,23636
石碇區,7562,7546,7523,7493,7503,7495,7487,7489,7496,7507,7503,7487,7483,7461,7428,7400,7370,7340,7332,7332,7323,7308,7287,7292,7275,7262,7251,7227,7212,7212,7207,7207,7186,7184,7173,7166,7139,7126,7114,7108,7088,7099,7109,7117,7103,7094,7078,7068
坪林區,6700,6695,6690,6689,6688,6687,6670,6662,6656,6646,6630,6619,6626,6604,6606,6594,6586,6577,6575,6560,6556,6559,6562,6553,6559,6547,6524,6519,6505,6507,6510,6494,6481,6468,6452,6446,6437,6438,6425,6416,6396,6396,6374,6368,6352,6337,6318,6324
三芝區,22529,22512,22499,22498,22487,22469,22460,22445,22408,22407,22378,22357,22311,22254,22224,22145,22160,22158,22159,22190,22161,22204,22240,22228,22252,22190,22177,22188,22175,22163,22133,22113,22119,22139,22131,22137,22113,22099,22070,22098,22074,22072,22044,22044,22047,22063,22086,22080
石門區,11475,11463,11400,11367,11353,11329,11303,11272,11243,11225,11208,11193,11167,11149,11108,11067,11039,11042,11019,11000,10978,10977,10966,10961,10948,10923,10902,10892,10867,10842,10825,10801,10790,10790,10777,10752,10730,10699,10682,10660,10619,10595,10565,10544,10498,10453,10424,10397
八里區,39751,39720,39711,39731,39734,39791,39799,39919,40012,40080,40145,40178,40175,40143,40111,40060,40203,40265,40417,40545,40640,40706,40787,40902,41020,41032,41097,41180,41257,41308,41518,41664,41847,41920,41954,41966,42004,41992,41990,42025,42083,42112,42225,42274,42445,42565,42631,42674
平溪區,4412,4403,4382,4379,4372,4360,4354,4336,4339,4344,4341,4333,4322,4313,4315,4313,4301,4302,4315,4317,4314,4298,4290,4268,4263,4253,4227,4217,4197,4195,4174,4160,4154,4153,4145,4134,4132,4120,4111,4103,4104,4095,4089,4077,4071,4059,4060,4049
雙溪區,8436,8423,8398,8370,8351,8329,8307,8291,8276,8263,8244,8235,8215,8201,8227,8219,8182,8155,8176,8158,8158,8159,8133,8102,8105,8079,8040,8033,8020,8009,8003,7973,7955,7948,7923,7915,7895,7876,7855,7828,7803,7788,7771,7743,7727,7713,7705,7686
貢寮區,11751,11754,11731,11689,11682,11676,11658,11630,11605,11588,11571,11534,11504,11496,11474,11440,11392,11377,11351,11336,11324,11300,11290,11260,11237,11211,11177,11138,11097,11077,11076,11064,11045,11020,10998,10981,10957,10946,10905,10884,10864,10838,10810,10791,10784,10761,10753,10719
金山區,21096,21062,21022,21016,20977,20963,20926,20916,20883,20861,20844,20844,20823,20797,20734,20696,20677,20668,20660,20644,20606,20605,20592,20577,20570,20546,20551,20517,20506,20494,20482,20459,20422,20401,20397,20366,20326,20331,20296,20286,20269,20239,20210,20203,20149,20130,20097,20059
萬里區,21672,21654,21599,21554,21555,21549,21542,21548,21536,21545,21513,21462,21404,21343,21258,21174,21168,21156,21128,21135,21138,21139,21111,21101,21093,21047,21012,20975,20977,20958,20954,20930,20946,20918,20890,20869,20843,20819,20764,20766,20785,20802,20796,20783,20762,20717,20662,20622
烏來區,6420,6387,6358,6331,6315,6333,6343,6335,6365,6372,6369,6391,6378,6340,6313,6306,6298,6294,6299,6299,6312,6327,6337,6359,6356,6327,6300,6291,6269,6272,6293,6300,6310,6329,6344,6360,6348,6345,6303,6290,6276,6264,6262,6260,6258,6273,6271,6309
總計,4029774,4029493,4028474,4027730,4026019,4023634,4021398,4019898,4017632,4014869,4011586,4008113,4003812,3999305,3989880,3975803,3972841,3972271,3974683,3976840,3979218,3982363,3987676,3995551,4004367,4008245,4013659,4017745,4021983,4025405,4031256,4034102,4036911,4038948,4039946,4041120,4041869,4042495,4042587,4043031,4043236,4043491,4043898,4044518,4046022,4046986,4047112,4047001
