基隆市,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
中正區,51226,51186,51119,51073,51017,50969,50967,50881,50786,50760,50701,50654,50636,50570,50514,50448,50449,50416,50469,50480,50536,50512,50570,50574,50601,50602,50603,50605,50644,50640,50639,50635,50652,50693,50689,50646,50621,50685,50692,50717,50775,50772,50746,50792,50846,50858,50926,50950
七堵區,53600,53594,53588,53639,53575,53530,53534,53514,53476,53419,53340,53276,53186,53139,53058,53054,53062,53058,53058,53042,52985,52980,53001,53003,53014,52996,52994,52956,52939,52948,52920,52909,52880,52806,52762,52757,52738,52751,52730,52734,52682,52639,52650,52621,52587,52585,52559,52528
暖暖區,38536,38499,38535,38549,38538,38521,38494,38475,38469,38470,38437,38398,38401,38338,38244,38149,38155,38176,38199,38244,38279,38285,38306,38320,38366,38422,38476,38509,38504,38497,38516,38518,38489,38455,38456,38450,38427,38421,38423,38442,38427,38441,38404,38387,38340,38359,38355,38334
仁愛區,42743,42741,42701,42675,42575,42442,42303,42215,42069,41976,41890,41842,41710,41664,41552,41432,41322,41255,41212,41226,41259,41272,41257,41328,41402,41354,41322,41327,41319,41320,41313,41208,41167,41159,41139,41131,41122,41067,41031,41037,40958,40897,40839,40705,40633,40580,40531,40515
中山區,46359,46318,46314,46249,46189,46132,46058,46008,45951,45903,45835,45755,45710,45635,45435,45327,45292,45203,45166,45145,45062,45057,45052,45038,45043,45023,44989,45025,45068,45157,45261,45381,45526,45523,45470,45459,45420,45340,45317,45295,45408,45441,45509,45630,45786,45807,45824,45859
安樂區,81754,81771,81794,81733,81641,81499,81453,81367,81212,81112,81062,81001,80918,80796,80619,80480,80346,80272,80243,80191,80120,80152,80179,80297,80441,80521,80623,80724,80629,80570,80599,80560,80489,80452,80430,80440,80414,80362,80394,80358,80255,80194,80115,80119,8068,80073,80096,80060
信義區,53161,53160,53127,53170,53108,53103,53082,53131,53154,53126,53085,53051,53033,52949,52817,52722,52694,52699,52735,52771,52765,52856,52897,52966,53024,53092,53170,53179,53227,53264,53291,53285,53345,53399,53408,53372,53352,53326,53287,53232,53230,53216,53228,53273,53259,53251,53206,53195
總計,367379,367269,367178,367088,366643,366196,365891,365591,365117,364766,364350,363977,363594,363091,362239,361612,361320,361079,361082,361099,361006,361114,361262,361526,361891,362010,362177,362325,362330,362396,362539,362496,362548,362487,362354,362255,362094,361952,361874,361815,361735,361600,361491,361527,361519,361513,361497,361441
