基隆市,10912,11001,11002,11003,11004,11005,11006,11007,11008,11009,11010,11011,11012,11101,11102,11103,11104,11105,11106,11107,11108,11109,11110,11111,11112,11201,11202,11203,11204,11205,11206,11207,11208,11209,11210,11211,11212,11301,11302,11303,11304,11305,11306,11307,11308,11309,11310,11311,11312
中正區,-33,36,-18,-46,-14,-47,-39,16,-78,-82,-4,-36,-37,11,11,-35,-52,30,6,84,35,74,8,87,32,61,48,45,34,62,11,27,35,35,71,10,-13,21,93,56,59,88,24,9,77,82,37,89,55
七堵區,-42,9,7,12,73,-45,-29,29,-8,-41,-42,-61,-53,-62,-62,-15,5,34,24,12,17,-42,35,34,30,42,0,18,-10,5,30,0,28,-4,-43,-10,6,16,43,5,29,-34,-17,33,-16,-18,7,-12,-5
暖暖區,-27,-5,-12,42,28,1,-8,-18,-15,15,12,-36,-26,14,14,-31,-80,29,48,38,54,45,21,45,23,60,67,77,43,12,13,43,13,-25,-8,6,13,-3,15,22,17,-2,27,-32,3,-26,38,9,-9
仁愛區,-2,-12,33,-8,-10,-79,-96,-105,-66,-124,-79,-60,-22,-112,-112,-9,-90,-66,-31,-1,44,58,30,28,99,94,-1,9,26,27,38,31,-80,-10,21,22,26,29,-6,20,34,-43,-24,-25,-112,-44,-21,-25,15
中山區,-9,-79,-21,20,-40,-42,-33,-53,-32,-43,-40,-51,-64,-34,-34,-55,-84,-7,-48,-5,1,-48,25,31,15,35,7,2,74,71,108,148,152,165,15,-28,10,-3,-40,6,3,141,58,99,139,190,50,41,51
安樂區,-30,15,26,38,-29,-82,-117,-43,-78,-140,-75,-48,-35,-54,-54,-97,-119,-84,-25,5,-7,-25,59,61,145,169,121,144,127,-55,4,82,-1,-49,2,20,42,26,-12,79,0,-64,-30,-25,37,-16,21,44,-12
信義區,71,-1,7,-26,50,-41,2,-6,57,36,-10,-29,-20,-2,-2,-73,-85,-4,43,57,33,23,106,56,92,89,94,107,16,78,62,58,22,81,70,39,-14,8,-12,-11,-44,27,6,44,61,17,18,-28,15
總計,-72,-37,22,32,58,-335,-320,-180,-220,-379,-238,-321,-257,-239,-239,-315,-505,-68,17,190,177,85,284,342,436,550,336,402,310,200,266,389,169,193,128,59,70,94,81,177,98,113,44,103,189,185,150,118,110
