鄉鎮市區,交易年月日,建物移轉總面積平方公尺,總價元,車位總價元,資料來源,縣市,房屋單價（元/平方公尺）
中正區,1101231,106.28,3000000,0,成屋,基隆市,28227.32404968009
中正區,1101231,55.88,1000000,0,成屋,基隆市,17895.490336435218
暖暖區,1101227,83.75999999999999,4100000,0,成屋,基隆市,48949.379178605544
安樂區,1101219,92.64,2700000,0,成屋,基隆市,29145.077720207253
暖暖區,1101224,129.92,5000000,0,成屋,基隆市,38485.22167487685
仁愛區,1101230,59.4,680000,0,成屋,基隆市,11447.811447811448
暖暖區,1101231,214.06,14700000,1500000,成屋,基隆市,61664.95375128469
安樂區,1101228,119.83,7500000,0,成屋,基隆市,62588.667278644745
七堵區,1101231,215.94,13280000,1200000,成屋,基隆市,55941.46522182088
七堵區,1101210,69.7,3800000,0,成屋,基隆市,54519.368723098996
中正區,1101222,68.49000000000001,6600000,0,成屋,基隆市,96364.43276390713
仁愛區,1101210,46.86,900000,0,成屋,基隆市,19206.145966709348
七堵區,1101226,210.85,11700000,1100000,成屋,基隆市,50272.705714963246
安樂區,1101226,142.29,5700000,0,成屋,基隆市,40059.034366434746
七堵區,1101229,216.01,20000000,0,成屋,基隆市,92588.30609693997
七堵區,1101230,87.57,3600000,0,成屋,基隆市,41109.96916752313
安樂區,1101201,110.15,3280000,0,成屋,基隆市,29777.576032682704
安樂區,1101226,83.42999999999999,3580000,0,成屋,基隆市,42910.224139997605
中正區,1101228,181.6,27700000,0,成屋,基隆市,152533.0396475771
中正區,1101209,47.7,2140000,0,成屋,基隆市,44863.731656184485
安樂區,1101223,208.68,15000000,0,成屋,基隆市,71880.39102932719
七堵區,1101214,288.94,16000000,0,成屋,基隆市,55374.81830137745
安樂區,1101230,80.36,3150000,0,成屋,基隆市,39198.606271777004
中正區,1101227,196.25,11100000,0,成屋,基隆市,56560.509554140124
安樂區,1101225,69.7,3500000,0,成屋,基隆市,50215.208034433286
信義區,1101210,94.8,6800000,0,成屋,基隆市,71729.95780590718
安樂區,1101222,118.43,3900000,0,成屋,基隆市,32930.84522502744
七堵區,1101230,114.03,3800000,0,成屋,基隆市,33324.56371130404
信義區,1101212,100.72,6390000,0,成屋,基隆市,63443.20889594917
信義區,1101215,244.88,14900000,1550000,成屋,基隆市,54516.49787651095
信義區,1101228,91.32,4300000,0,成屋,基隆市,47087.16600963645
中山區,1101218,209.26,3100000,0,成屋,基隆市,14814.106852719106
信義區,1101226,180.78,10900000,0,成屋,基隆市,60294.28034074566
安樂區,1101222,84.95,5430000,0,成屋,基隆市,63919.95291347851
中正區,1101229,88.53,14000000,0,成屋,基隆市,158138.48412967357
中正區,1101207,65.48,2000000,0,成屋,基隆市,30543.677458766033
七堵區,1101231,136.43,10200000,600000,成屋,基隆市,70365.7553324049
信義區,1101212,179.45,6600000,0,成屋,基隆市,36779.04708832544
中正區,1101231,95.57,4600000,0,成屋,基隆市,48132.25907711625
中正區,1101228,67.41,2700000,0,成屋,基隆市,40053.40453938585
暖暖區,1101223,82.58999999999999,1680000,0,成屋,基隆市,20341.445695604798
安樂區,1101220,78.32,3000000,0,成屋,基隆市,38304.39223697651
安樂區,1101201,112.29,3780000,0,成屋,基隆市,33662.8372962864
安樂區,1101211,181.95,4300000,0,成屋,基隆市,23632.866172025282
七堵區,1101230,170.25,10600000,0,成屋,基隆市,62261.380323054334
七堵區,1101225,157.26,9500000,1000000,成屋,基隆市,54050.61681292128
安樂區,1101210,31.57,780000,0,成屋,基隆市,24707.000316756414
中山區,1101224,156.6,6600000,0,成屋,基隆市,42145.593869731805
中山區,1101222,55.01,2300000,0,成屋,基隆市,41810.579894564624
安樂區,1101225,386.17,21380000,0,成屋,基隆市,55364.21783152498
安樂區,1101229,86.16,7450000,0,成屋,基隆市,86467.03806870939
暖暖區,1101214,102.12,3750000,0,成屋,基隆市,36721.504112808456
信義區,1101217,96.93,3750000,0,成屋,基隆市,38687.7127824203
七堵區,1101219,104.32,5500000,0,成屋,基隆市,52722.392638036814
中山區,1101230,105.82,4200000,0,成屋,基隆市,39690.039690039695
安樂區,1101230,119.4,3150000,0,成屋,基隆市,26381.90954773869
中正區,1101225,68.54,3280000,0,成屋,基隆市,47855.266997373794
安樂區,1101225,82.29,3250000,0,成屋,基隆市,39494.47077409163
安樂區,1101207,110.06,8000000,0,成屋,基隆市,72687.62493185535
中正區,1101213,1018.34,80000000,0,成屋,基隆市,78559.2238348685
安樂區,1101229,382.04,23120000,0,成屋,基隆市,60517.22332740027
中正區,1101229,47.22,3800000,0,成屋,基隆市,80474.37526471834
中正區,1101222,114.22,5500000,0,成屋,基隆市,48152.6877954824
中正區,1101204,103.68,6150000,0,成屋,基隆市,59317.12962962963
中正區,1101203,123.92,7500000,700000,成屋,基隆市,54874.11233053583
安樂區,1101226,88.69,3100000,0,成屋,基隆市,34953.207802458004
